,id,application_date,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
265,2925475.0,2024-02-13 04:50:24.940000+00:00,-3,-1,-1
266,2925476.0,2024-02-13 04:50:37.021000+00:00,6,307403141,125
267,2925477.0,2024-02-13 04:50:44.200000+00:00,3,0,-1
268,2925478.0,2024-02-13 04:50:37.021000+00:00,6,307403141,125
269,2925479.0,2024-02-13 04:50:44.200000+00:00,3,0,-1
270,2925480.0,2024-02-13 04:50:57.645000+00:00,3,0,-1
271,2925481.0,2024-02-13 04:51:05.145000+00:00,-3,-1,-1
272,2925482.0,2024-02-13 04:50:57.645000+00:00,3,0,-1
273,2925483.0,2024-02-13 04:51:19.872000+00:00,-3,-1,-1
274,2925484.0,2024-02-13 04:51:36.898000+00:00,2,0,187
275,2925485.0,2024-02-13 04:51:36.898000+00:00,2,0,187
276,2925486.0,2024-02-13 04:52:01.398000+00:00,2,3767550595,369
277,2925487.0,2024-02-13 04:52:03.602000+00:00,-3,-1,-1
278,2925488.0,2024-02-13 04:52:07.147000+00:00,-3,-1,-1
279,2925489.0,2024-02-13 04:52:11.617000+00:00,-3,-1,-1
280,2925490.0,2024-02-13 04:52:01.398000+00:00,2,3767550595,369
281,2925491.0,2024-02-13 04:52:18.517000+00:00,-3,-1,-1
282,2925492.0,2024-02-13 04:52:35.289000+00:00,1,1374999700,156
283,2925493.0,2024-02-13 04:52:40.644000+00:00,2,3767550595,369
284,2925494.0,2024-02-13 04:52:42.262000+00:00,-3,-1,-1
285,2925495.0,2024-02-13 04:52:42.959000+00:00,13,431182433,299
286,2925496.0,2024-02-13 04:52:49.197000+00:00,-3,-1,-1
287,2925497.0,2024-02-13 04:52:40.644000+00:00,2,3767550595,369
288,2925498.0,2024-02-13 04:52:35.289000+00:00,1,1374999700,156
289,2925499.0,2024-02-13 04:52:53.813000+00:00,-3,-1,-1
290,2925500.0,2024-02-13 04:52:42.959000+00:00,13,431182433,299
291,2925501.0,2024-02-13 04:52:59.357000+00:00,-3,-1,-1
292,2925502.0,2024-02-13 04:53:00.347000+00:00,-3,-1,-1
293,2925503.0,2024-02-13 04:53:11.954000+00:00,13,431182433,299
294,2925504.0,2024-02-13 04:53:15.811000+00:00,1,1374999700,156
295,2925505.0,2024-02-13 04:53:18.998000+00:00,-3,-1,-1
296,2925506.0,2024-02-13 04:53:11.954000+00:00,13,431182433,299
297,2925507.0,2024-02-13 04:53:15.811000+00:00,1,1374999700,156
298,2925508.0,2024-02-13 04:53:41.149000+00:00,4,7045370606,553
299,2925509.0,2024-02-13 04:53:41.149000+00:00,4,7045370606,553
300,2925510.0,2024-02-13 04:54:10.776000+00:00,5,3692414810,106
301,2925511.0,2024-02-13 04:54:18.281000+00:00,-3,-1,-1
302,2925512.0,2024-02-13 04:54:22.112000+00:00,-3,-1,-1
303,2925513.0,2024-02-13 04:54:10.776000+00:00,5,3692414810,106
304,2925514.0,2024-02-13 04:54:49.641000+00:00,2,41667400,680
305,2925515.0,2024-02-13 04:55:03.845000+00:00,150,4348396530,159
306,2925516.0,2024-02-13 04:54:49.641000+00:00,2,41667400,680
307,2925517.0,2024-02-13 04:55:08.802000+00:00,-3,-1,-1
308,2925518.0,2024-02-13 04:55:30.736000+00:00,-3,-1,-1
309,2925519.0,2024-02-13 04:55:40.580000+00:00,-3,-1,-1
310,2925520.0,2024-02-13 04:56:00.336000+00:00,1,0,1356
311,2925521.0,2024-02-13 04:56:12.376000+00:00,4,7045370606,553
312,2925522.0,2024-02-13 04:56:00.336000+00:00,1,0,1356
313,2925523.0,2024-02-13 04:56:21.891000+00:00,10,0,-1
314,2925524.0,2024-02-13 04:56:12.376000+00:00,4,7045370606,553
315,2925525.0,2024-02-13 04:56:26.975000+00:00,-3,-1,-1
316,2925526.0,2024-02-13 04:55:03.845000+00:00,150,4348396530,159
317,2925527.0,2024-02-13 04:56:21.891000+00:00,10,0,-1
318,2925528.0,2024-02-13 04:56:38.133000+00:00,-3,-1,-1
319,2925529.0,2024-02-13 04:56:39.453000+00:00,-3,-1,-1
320,2925530.0,2024-02-13 04:56:49.252000+00:00,10,0,-1
321,2925531.0,2024-02-13 04:56:49.845000+00:00,-3,-1,-1
322,2925532.0,2024-02-13 04:56:49.943000+00:00,4,1000000000,4
323,2925533.0,2024-02-13 04:56:51.458000+00:00,-3,-1,-1
324,2925534.0,2024-02-13 04:56:49.252000+00:00,10,0,-1
325,2925535.0,2024-02-13 04:56:49.943000+00:00,4,1000000000,4
326,2925536.0,2024-02-13 04:57:03.464000+00:00,-3,-1,-1
327,2925537.0,2024-02-13 04:57:18.656000+00:00,-3,-1,-1
328,2925538.0,2024-02-13 04:57:31.286000+00:00,9,136001300,29
329,2925539.0,2024-02-13 04:57:35.923000+00:00,-3,-1,-1
330,2925540.0,2024-02-13 04:57:31.286000+00:00,9,136001300,29
331,2925541.0,2024-02-13 04:57:46.854000+00:00,-3,-1,-1
332,2925542.0,2024-02-13 04:57:57.911000+00:00,9,136001300,29
333,2925543.0,2024-02-13 04:57:57.911000+00:00,9,136001300,29
334,2925544.0,2024-02-13 04:58:45.818000+00:00,-3,-1,-1
335,2925545.0,2024-02-13 04:59:17.213000+00:00,5,1008000000,113
336,2925546.0,2024-02-13 04:59:22.417000+00:00,-3,-1,-1
337,2925547.0,2024-02-13 04:59:23.711000+00:00,-3,-1,-1
338,2925548.0,2024-02-13 04:59:17.213000+00:00,5,1008000000,113
339,2925549.0,2024-02-13 04:59:36.393000+00:00,-3,-1,-1
340,2925550.0,2024-02-13 04:59:47.582000+00:00,5,1008000000,113
341,2925551.0,2024-02-13 04:59:53.736000+00:00,1,0,309
342,2925552.0,2024-02-13 04:59:47.582000+00:00,5,1008000000,113
343,2925553.0,2024-02-13 04:59:53.736000+00:00,1,0,309
344,2925554.0,2024-02-13 05:01:23.897000+00:00,-3,-1,-1
345,2925555.0,2024-02-13 05:01:31.328000+00:00,-3,-1,-1
346,2925556.0,2024-02-13 05:01:55.312000+00:00,-3,0,2497
347,2925557.0,2024-02-13 05:02:01.798000+00:00,-3,-1,-1
348,2925558.0,2024-02-13 05:02:02.608000+00:00,3,0,-1
349,2925559.0,2024-02-13 05:02:07.174000+00:00,-3,-1,-1
350,2925560.0,2024-02-13 05:01:55.312000+00:00,-3,0,2497
351,2925561.0,2024-02-13 05:02:13.343000+00:00,-3,-1,-1
352,2925562.0,2024-02-13 05:02:02.608000+00:00,3,0,-1
353,2925563.0,2024-02-13 05:02:17.847000+00:00,-3,-1,-1
354,2925564.0,2024-02-13 05:02:28.787000+00:00,3,0,-1
355,2925565.0,2024-02-13 05:02:35.270000+00:00,-3,0,2497
356,2925566.0,2024-02-13 05:02:28.787000+00:00,3,0,-1
357,2925567.0,2024-02-13 05:02:35.270000+00:00,-3,0,2497
358,2925568.0,2024-02-13 05:05:04.543000+00:00,-3,-1,-1
359,2925569.0,2024-02-13 05:05:19.424000+00:00,-3,-1,-1
360,2925570.0,2024-02-13 05:05:25.573000+00:00,7,3225259367,173
361,2925571.0,2024-02-13 05:05:25.573000+00:00,7,3225259367,173
362,2925572.0,2024-02-13 05:06:00.977000+00:00,2,364000000,34
363,2925573.0,2024-02-13 05:06:01.847000+00:00,-3,-1,-1
364,2925574.0,2024-02-13 05:06:05.528000+00:00,-3,-1,-1
365,2925575.0,2024-02-13 05:06:00.977000+00:00,2,364000000,34
366,2925576.0,2024-02-13 05:06:16.410000+00:00,-3,-1,-1
367,2925577.0,2024-02-13 05:06:37.581000+00:00,2,364000000,34
368,2925578.0,2024-02-13 05:06:37.581000+00:00,2,364000000,34
369,2925579.0,2024-02-13 05:07:07.203000+00:00,-3,-1,-1
370,2925580.0,2024-02-13 05:07:10.082000+00:00,-3,-1,-1
371,2925581.0,2024-02-13 05:07:30.791000+00:00,-3,-1,-1
372,2925582.0,2024-02-13 05:07:41.594000+00:00,12,11528774954,309
373,2925583.0,2024-02-13 05:07:48.546000+00:00,7,0,71
374,2925584.0,2024-02-13 05:07:50.628000+00:00,-3,-1,-1
375,2925585.0,2024-02-13 05:07:41.594000+00:00,12,11528774954,309
376,2925586.0,2024-02-13 05:07:48.546000+00:00,7,0,71
377,2925587.0,2024-02-13 05:08:22.709000+00:00,150,4348396530,159
378,2925588.0,2024-02-13 05:08:31.931000+00:00,2,0,934
